Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.3852E-3,0.138520448,0.150078634,1,0,0
1.7431E-3,0.312830605,0.185047603,0.992366412,0,0
1.856E-3,0.4984302,0.195776798,0.984732824,0,0
1.91359E-3,0.689789431,0.201196076,0.977099237,0,0
2.15214E-3,0.905003492,0.223255137,0.969465649,0,0
2.17789E-3,1.122792429,0.225599451,0.961832061,0,0
2.19235E-3,1.342027339,0.226912844,0.954198473,0,0
2.19558E-3,1.561585168,0.22720585,0.946564885,0,0
2.26884E-3,1.788468692,0.233823195,0.938931298,0,0
2.28207E-3,2.016675637,0.235012593,0.93129771,0,0
2.33421E-3,2.480919831,0.239680389,0.916030534,0,0
2.51383E-3,2.732302579,0.255544622,0.908396947,0,0
2.92077E-3,3.024379137,0.290272015,0.900763359,0,0
3.00156E-3,3.32453521,0.296971731,0.893129771,0,0
3.06483E-3,3.63101777,0.302173619,0.885496183,0.011235955,0
3.24345E-3,3.955362452,0.316653745,0.877862595,0.011235955,0
3.39102E-3,4.294463966,0.328389604,0.870229008,0.011235955,0
3.39203E-3,4.6336672,0.328469797,0.86259542,0.011235955,0
3.50215E-3,4.983882624,0.337095059,0.854961832,0.011235955,0
3.59397E-3,5.343279252,0.344201463,0.847328244,0.011235955,0
3.74335E-3,5.717614745,0.355601931,0.839694656,0.011235955,0
3.824E-3,6.10001468,0.36167365,0.832061069,0.011235955,0
3.90317E-3,6.490331284,0.367578462,0.824427481,0.011235955,0
3.9269E-3,6.883021662,0.369338321,0.816793893,0.011235955,0
3.93284E-3,7.276305905,0.369777833,0.809160305,0.011235955,0
4.02651E-3,7.678957232,0.376669903,0.801526718,0.011235955,0
4.07606E-3,8.086563234,0.380284902,0.79389313,0.02247191,0
4.10725E-3,8.497287839,0.382549518,0.786259542,0.02247191,0
4.13326E-3,8.910613627,0.384432072,0.778625954,0.033707865,0
4.24178E-3,9.33479131,0.392224188,0.770992366,0.04494382,0
4.36439E-3,9.771230543,0.400909874,0.763358779,0.04494382,0
4.61074E-3,10.23230448,0.417986897,0.755725191,0.04494382,0
4.69928E-3,10.70223202,0.424004661,0.748091603,0.04494382,0
5.08822E-3,11.211054155,0.449712669,0.740458015,0.04494382,0
5.20481E-3,11.731535358,0.45719302,0.732824427,0.056179775,0
5.25428E-3,12.256962981,0.460335794,0.72519084,0.06741573,0
5.28851E-3,12.785813513,0.462499927,0.717557252,0.06741573,0
5.46217E-3,13.33203015,0.473346658,0.709923664,0.078651685,0
5.78767E-3,13.910797262,0.493091255,0.702290076,0.078651685,0
5.89068E-3,14.499864921,0.499183877,0.694656489,0.08988764,0
5.92905E-3,15.092769664,0.501434689,0.687022901,0.101123596,0
6.13418E-3,15.706187404,0.513297014,0.679389313,0.112359551,0
6.21146E-3,16.327333749,0.517692772,0.671755725,0.123595506,0
6.33401E-3,16.960734739,0.524581541,0.664122137,0.134831461,0
6.403E-3,17.601034357,0.528416128,0.65648855,0.134831461,0
6.45178E-3,18.24621246,0.531109139,0.648854962,0.146067416,0
6.51668E-3,18.897880439,0.534667845,0.641221374,0.157303371,0
6.58461E-3,19.556340991,0.538363609,0.633587786,0.168539326,0
6.7155E-3,20.227890972,0.545402845,0.625954198,0.168539326,0
6.72817E-3,20.900708302,0.546078675,0.618320611,0.179775281,0
6.74545E-3,21.575253021,0.546998208,0.610687023,0.179775281,0
6.80421E-3,22.255674452,0.550112608,0.603053435,0.179775281,0
6.83202E-3,22.938876805,0.551578903,0.595419847,0.191011236,0
6.9202E-3,23.630896797,0.556196646,0.58778626,0.202247191,0
6.96433E-3,24.327330181,0.558490025,0.580152672,0.213483146,0
7.14895E-3,25.042225353,0.567955749,0.572519084,0.224719101,0
7.28642E-3,25.77086709,0.574871832,0.564885496,0.235955056,0
7.35893E-3,26.506760013,0.578475286,0.557251908,0.247191011,0
7.4897E-3,27.255730369,0.584897037,0.549618321,0.258426966,0
7.57542E-3,28.013272444,0.589053058,0.541984733,0.269662921,0
7.5951E-3,28.772782112,0.590001164,0.534351145,0.269662921,0
7.65157E-3,29.53793948,0.592710436,0.526717557,0.280898876,0
7.66641E-3,30.304580624,0.593419247,0.519083969,0.292134831,0
7.74849E-3,31.079429191,0.597317772,0.511450382,0.303370787,0
7.79019E-3,31.85844862,0.599284584,0.503816794,0.314606742,0
7.87969E-3,32.646417141,0.603472259,0.496183206,0.325842697,0
7.90801E-3,33.437218423,0.604788692,0.488549618,0.337078652,0
7.93216E-3,34.230434052,0.605907231,0.480916031,0.348314607,0
7.95932E-3,35.026366546,0.607162137,0.473282443,0.359550562,0
7.9616E-3,35.822526538,0.607267036,0.465648855,0.370786517,0
8.04525E-3,36.627051806,0.611104853,0.458015267,0.382022472,0
8.15605E-3,37.44265631,0.616130111,0.450381679,0.393258427,0
8.1727E-3,38.259926771,0.616880109,0.442748092,0.404494382,0
