X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.007666411441713831,30.30459423401335,0.5934192471098267
2.0,2.0,train,0.00834066099217182,41.57337739217643,0.6243599790346295
3.0,3.0,train,0.006134177393583851,15.706179609811416,0.5132970140915674
4.0,4.0,train,0.007790194290236383,31.858486391745448,0.5992845837932013
5.0,5.0,train,0.007748485668979443,31.079388305460622,0.5973177722695532
6.0,6.0,train,0.008840828511812497,48.41272390741191,0.6457808456787109
7.0,7.0,train,0.0073589292262973074,26.506752160809466,0.5784752860536855
8.0,8.0,train,0.007879685206450026,32.64637493802254,0.6034722589428978
9.0,9.0,train,0.010839985218730436,64.14757333514153,0.7198762443081087
10.0,10.0,train,0.01118139280896449,68.58779405885373,0.730881154034179
11.0,11.0,train,0.011517477181618083,74.2519118249976,0.7412921097413068
12.0,12.0,train,0.006920199918057994,23.63089615393461,0.5561966459748454
13.0,13.0,train,0.006964333845280364,24.32734507089474,0.5584900249681418
14.0,14.0,train,0.004026513267806738,7.678984113486178,0.3766699033690818
15.0,15.0,train,0.01119196127293322,69.70299185545743,0.7312148291554659
16.0,16.0,train,0.005204812035477207,11.731556977081272,0.4571930195630999
17.0,17.0,train,0.009085647995860839,51.1116560113689,0.6558161240963303
18.0,18.0,train,0.016348471679155725,99.99983187998527,0.8532719085056858
19.0,19.0,train,0.009909172688416954,56.85123990387308,0.6875322973930362
20.0,20.0,train,0.012129450346742213,83.68335935886421,0.7592259247741551
21.0,21.0,train,0.007148951714472411,25.042234440336546,0.5679557487874435
22.0,22.0,train,0.012665751963791225,87.42646439164447,0.7739171074969893
23.0,23.0,train,0.007651573679306274,29.53812955463415,0.5927104356400478
24.0,24.0,train,0.008404902828931611,42.414230006457416,0.6271821963261108
25.0,25.0,train,0.008156045041370002,37.44261980926931,0.616130110602614
26.0,26.0,train,0.006832023532408308,22.938904526673497,0.5515789029568344
27.0,27.0,train,0.008684505682642396,47.52858930914148,0.6392205618406424
28.0,28.0,train,0.009291389792883834,52.04081636164614,0.6640293960828314
29.0,29.0,train,0.008622188613639774,46.660187814390085,0.6365716010722535
30.0,30.0,train,0.012945012707208091,88.72134515548905,0.7812085850986319
31.0,31.0,train,0.010783183741456386,63.06380390755286,0.7180021323243382
32.0,32.0,train,0.011978496617917285,82.47077648010655,0.7549212090773133
